172.16.1.17|Foundry Networks, Inc. FastIron Workgroup Switch, IronWare Version 07.1.26cT10 Compiled on Oct  4 2002 at 15:57:14 labeled as FWS07126c|1|FastEthernet1|FastEthernet1|1|00:16:76:85:15:c0|172.16.1.48 
172.16.1.17|Foundry Networks, Inc. FastIron Workgroup Switch, IronWare Version 07.1.26cT10 Compiled on Oct  4 2002 at 15:57:14 labeled as FWS07126c|3|FastEthernet3|FastEthernet3|3|00:00:21:c9:0f:b6|172.16.1.206 
172.16.1.17|Foundry Networks, Inc. FastIron Workgroup Switch, IronWare Version 07.1.26cT10 Compiled on Oct  4 2002 at 15:57:14 labeled as FWS07126c|21|FastEthernet21|FastEthernet21|21|00:02:16:66:3f:e1|172.16.1.14 
172.16.1.17|Foundry Networks, Inc. FastIron Workgroup Switch, IronWare Version 07.1.26cT10 Compiled on Oct  4 2002 at 15:57:14 labeled as FWS07126c|26|FastEthernet26|FastEthernet26|26|00:02:a5:0c:33:ad|172.16.1.44 
172.16.1.17|Foundry Networks, Inc. FastIron Workgroup Switch, IronWare Version 07.1.26cT10 Compiled on Oct  4 2002 at 15:57:14 labeled as FWS07126c|26|FastEthernet26|FastEthernet26|26|00:0d:56:fe:87:11|172.16.1.38 
172.16.1.17|Foundry Networks, Inc. FastIron Workgroup Switch, IronWare Version 07.1.26cT10 Compiled on Oct  4 2002 at 15:57:14 labeled as FWS07126c|26|FastEthernet26|FastEthernet26|26|00:0d:56:fe:8d:c3|172.16.1.40 
172.16.1.17|Foundry Networks, Inc. FastIron Workgroup Switch, IronWare Version 07.1.26cT10 Compiled on Oct  4 2002 at 15:57:14 labeled as FWS07126c|26|FastEthernet26|FastEthernet26|26|00:0d:56:fe:a9:9c|172.16.1.45 
172.16.1.17|Foundry Networks, Inc. FastIron Workgroup Switch, IronWare Version 07.1.26cT10 Compiled on Oct  4 2002 at 15:57:14 labeled as FWS07126c|26|FastEthernet26|FastEthernet26|26|00:0d:56:fe:b1:f5|172.16.1.32 
172.16.1.17|Foundry Networks, Inc. FastIron Workgroup Switch, IronWare Version 07.1.26cT10 Compiled on Oct  4 2002 at 15:57:14 labeled as FWS07126c|26|FastEthernet26|FastEthernet26|26|00:0d:56:fe:b1:fe|172.16.1.37 
172.16.1.17|Foundry Networks, Inc. FastIron Workgroup Switch, IronWare Version 07.1.26cT10 Compiled on Oct  4 2002 at 15:57:14 labeled as FWS07126c|26|FastEthernet26|FastEthernet26|26|00:0e:2e:00:d8:0c|172.16.1.47 
172.16.1.17|Foundry Networks, Inc. FastIron Workgroup Switch, IronWare Version 07.1.26cT10 Compiled on Oct  4 2002 at 15:57:14 labeled as FWS07126c|26|FastEthernet26|FastEthernet26|26|00:0f:b5:fe:fe:f7|172.16.1.21 
